rating,quality,adjusted_rating,distance_from_center,adults,free_cancellation,review,Number of Beds
7.2,2.0,1.7787729002020816,4.5,4.0,0.0,5208.0,3.0
8.4,3.0,0.6331698338756963,4.0,3.0,0.0,1589.0,2.0
5.1,1.0,0.18967202072047284,4.3,4.0,0.0,784.0,1.0
7.8,2.0,0.4858210866863373,4.6,3.0,1.0,1313.0,1.0
8.6,4.0,2.0422378869671642,10.8,3.0,0.0,5006.0,1.0
7.0,2.0,1.4334980977771032,6.0,1.0,0.0,4317.0,1.0
8.1,3.0,0.2947117254727095,250.0,3.0,0.0,767.0,3.0
8.2,3.0,0.12019581985332485,5.8,2.0,0.0,309.0,1.0
7.4,2.0,0.7684126637761735,4.8,4.0,0.0,2189.0,4.0
8.4,3.0,0.9507509273929586,2.7,4.0,0.0,2386.0,3.0
8.3,3.0,0.5476741648719677,4.4,3.0,0.0,1391.0,3.0
8.5,3.0,1.0205354686299253,1.9,2.0,0.0,2531.0,1.0
9.1,5.0,0.006043471248446439,7.3,3.0,0.0,14.0,2.0
8.6,4.0,0.5152509890610324,8.0,3.0,0.0,1263.0,1.0
7.3,2.0,1.1479511968350047,4.7,2.0,0.0,3315.0,4.0
8.4,3.0,1.3882716810716964,3.4,3.0,1.0,3484.0,1.0
8.8,4.0,0.008766353898845385,0.5,5.0,0.0,21.0,7.0
6.7,1.0,0.001906966594878704,4.9,4.0,0.0,6.0,3.0
7.6,2.0,0.08688557251691129,4.7,4.0,0.0,241.0,3.0
8.4,3.0,1.6576378281453092,400.0,1.0,0.0,4160.0,1.0
7.7,2.0,0.213314611538571,7.2,5.0,0.0,584.0,5.0
7.8,2.0,0.5968236198210678,1.6,3.0,0.0,1613.0,2.0
9.0,5.0,0.012381051772719942,8.7,2.0,0.0,29.0,2.0
8.5,3.0,1.0205354686299253,1.9,2.0,0.0,2531.0,1.0
7.2,2.0,4.783013766211588,3.6,3.0,0.0,14004.0,2.0
